scraped_id,text,tagger,tagged_date,label,clean_data
1,-185 altı kendine erkeğim demesin diyen kasa,model_tarafından_etiketlendi,2022-07-31 22:11:42.000000,Cinsiyetçilik,alti kendine erkegim demesin diyen kasa
2,"""feminen bir erkek neden olamıyorsun, neden ben kadın olmuş olmak zorundayım??""",model_tarafından_etiketlendi,2022-07-31 22:11:47.000000,Cinsiyetçilik,feminen bir erkek neden olamiyorsun neden ben kadin olmus olmak zorundayim
3,"""Kızlar böyle tırnağı olmayan da kendine kızım demesin bi zaamet "" tiviti gelmeliydi fotili.",model_tarafından_etiketlendi,2022-07-31 22:11:49.000000,Cinsiyetçilik,kizlar boyle tirnagi olmayan da kendine kizim demesin bi zaamet tiviti gelmeliydi fotili
4,"""Şık olmalı kadın dediğin.Gelisi, gülüşü, bakışı, duruşu, isyanı ve hatta gidişi bile..""Ya da gidemeyisi..#geceyebirsözbırak #geceninmottosu #iyigeceler",model_tarafından_etiketlendi,2022-07-31 22:11:51.000000,Cinsiyetçilik,sik olmali kadin dedigingelisi gulusu bakisi durusu isyani ve hatta gidisi bileya da
5,"“ Çokta …de “ demek için erkek olmak isterdim. Çok rahatlatıcı bi küfür değil  mi? Boşvermişlik, rahatlık, artık umrumda değilsin hali.",model_tarafından_etiketlendi,2022-07-31 22:11:53.000000,Cinsiyetçilik,cokta de demek icin erkek olmak isterdim cok rahatlatici bi kufur degil mi bosvermislik rahatlik artik umrumda degilsin hali
6,"“ Şöyle olmayan kendine kadınım demesin böyle olan kadınlar uu beybi beybi” gruplarında yer bulamayan ben sonunda kategorimi buldum. 
Düz Kız voawww",model_tarafından_etiketlendi,2022-07-31 22:11:55.000000,Cinsiyetçilik,soyle olmayan kendine kadinim demesin boyle olan kadinlar uu beybi beybi gruplarinda yer bulamayan ben sonunda kategorimi buldum duz kiz voawww
7,"“Ben öldüğüm zaman, beni gece gömün ki ! Namahrem beni görmesin..” Diyen Hz.Fatima ra annemiz simdiki  hanimlari görse ne derdi acaba ??? Ölülerin 3 kat kefene sarıldığı bir dinde, dirilerin çıplak gezmesi sizcede akıl almaz değil mi? Kadın dediğin bir hazinedir. ",model_tarafından_etiketlendi,2022-07-31 22:11:57.000000,Cinsiyetçilik,ben oldugum zaman beni gece gomun ki namahrem beni gormesin diyen hzfatima ra annemiz simdiki hanimlari gorse ne derdi acaba olulerin  kat kefene sarildigi bir dinde dirilerin ciplak gezmesi sizcede akil almaz degil mi kadin dedigin bir hazinedir
8,"*Sakallı lavuk trans kız olduğunu iddia eden tweet atar*

Maksimum 30takipcili Sünni hetero anon erkekler:",model_tarafından_etiketlendi,2022-07-31 22:11:59.000000,Cinsiyetçilik,sakalli lavuk trans kiz oldugunu iddia eden tweet atar maksimum takipcili sunni hetero anon erkekler
9,"*Twittera girerim*
Eğer benim gibi değilseniz..
bana düşmeyen bokuyla....
Kızlar böyle değilseniz nefes almayın....
Benim gibi fiziği olmayan kendine kızım demesin....
*Twitterdan çıkarım*",model_tarafından_etiketlendi,2022-07-31 22:12:01.000000,Cinsiyetçilik,twittera girerim eger benim gibi degilseniz bana dusmeyen bokuyla kizlar boyle degilseniz nefes almayin benim gibi fizigi olmayan kendine kizim demesin twitterdan cikarim
10,"#kücükköy Kadınlar  gibi  takdir  değil, her  DEPRENİŞ Anlar",model_tarafından_etiketlendi,2022-07-31 22:12:03.000000,Cinsiyetçilik,kadinlar gibi takdir degil her deprenis anlar
11,%80 olmayan kendine erkegim demesin,model_tarafından_etiketlendi,2022-07-31 22:12:05.000000,Cinsiyetçilik,olmayan kendine erkegim demesin
12,1.55 boyunda olmayan kiz da kendine kizim demesin yaniii,model_tarafından_etiketlendi,2022-07-31 22:12:07.000000,Cinsiyetçilik,boyunda olmayan kiz da kendine kizim demesin yaniii
13,1.60 üstü kızlar da kendine kızım demesin lütfen,model_tarafından_etiketlendi,2022-07-31 22:12:09.000000,Cinsiyetçilik,ustu kizlar da kendine kizim demesin lutfen
14,1.65 üstü kızlar kendine kızım demesin,model_tarafından_etiketlendi,2022-07-31 22:12:11.000000,Cinsiyetçilik,ustu kizlar kendine kizim demesin
15,1.70 altı kız kendine kızım demesin,model_tarafından_etiketlendi,2022-07-31 22:12:13.000000,Cinsiyetçilik,alti kiz kendine kizim demesin
16,1.70 boyu olmayanda kendine kızım demesin bi zahmet...,model_tarafından_etiketlendi,2022-07-31 22:12:15.000000,Cinsiyetçilik,boyu olmayanda kendine kizim demesin bi zahmet
17,1.70 üstü olmayan kızlar da kendine kızım demesin ben demiyorum mesela,model_tarafından_etiketlendi,2022-07-31 22:12:17.000000,Cinsiyetçilik,ustu olmayan kizlar da kendine kizim demesin ben demiyorum mesela
18,1.80 altı erkekte kendine erkeğim demesin,model_tarafından_etiketlendi,2022-07-31 22:12:19.000000,Cinsiyetçilik,alti erkekte kendine erkegim demesin
19,1.84 altı erkek de kendine erkeğim demesin bir zahmet,model_tarafından_etiketlendi,2022-07-31 22:12:21.000000,Cinsiyetçilik,alti erkek de kendine erkegim demesin bir zahmet
20,1.85 boyun da olmayan erkek de kendine erkeğim demesin .d,model_tarafından_etiketlendi,2022-07-31 22:12:23.000000,Cinsiyetçilik,boyun da olmayan erkek de kendine erkegim demesin d
21,1.90 altı erkekler bacımdır,model_tarafından_etiketlendi,2022-07-31 22:12:25.000000,Cinsiyetçilik,alti erkekler bacimdir
22,1.90 alti erkekler bacimdir,model_tarafından_etiketlendi,2022-07-31 22:12:27.000000,Cinsiyetçilik,alti erkekler bacimdir
23,1.90 olmayan erkek de kendine erkeğim demesin,model_tarafından_etiketlendi,2022-07-31 22:12:29.000000,Cinsiyetçilik,olmayan erkek de kendine erkegim demesin
24,"1.98 boy, geniş omuzlu erkek yangını yapan anon tw kızları",model_tarafından_etiketlendi,2022-07-31 22:12:31.000000,Cinsiyetçilik,boy genis omuzlu erkek yangini yapan anon tw kizlari
25,180 altı kendine erkeğim demesin bi zahmet ya,model_tarafından_etiketlendi,2022-07-31 22:12:33.000000,Cinsiyetçilik,alti kendine erkegim demesin bi zahmet ya
26,190 altı kendine erkeğim demesin,model_tarafından_etiketlendi,2022-07-31 22:12:35.000000,Cinsiyetçilik,alti kendine erkegim demesin
27,200 km koşmayan da kendine erkeğim demesin,model_tarafından_etiketlendi,2022-07-31 22:12:37.000000,Cinsiyetçilik,km kosmayan da kendine erkegim demesin
28,27-Antremanın iptal olduğunu duyan kızlar peki,model_tarafından_etiketlendi,2022-07-31 22:12:39.000000,Cinsiyetçilik,antremanin iptal oldugunu duyan kizlar peki
29,3 metrenin altındaki kız da kendine kızım demesin bir zahmet,model_tarafından_etiketlendi,2022-07-31 22:12:41.000000,Cinsiyetçilik,metrenin altindaki kiz da kendine kizim demesin bir zahmet
30,30 saniyede kadınlar...,model_tarafından_etiketlendi,2022-07-31 22:12:43.000000,Cinsiyetçilik,saniyede kadinlar
31,35 bin tl maaş almayanda kendine erkeğim demesin,model_tarafından_etiketlendi,2022-07-31 22:12:45.000000,Cinsiyetçilik,bin tl maas almayanda kendine erkegim demesin
32,36 numaradan büyük ayağı olan bi zahmet kendine kızım demesin!,model_tarafından_etiketlendi,2022-07-31 22:12:47.000000,Cinsiyetçilik,numaradan buyuk ayagi olan bi zahmet kendine kizim demesin
33,45 kilonun üstünde olan da kendine kızım demesin,model_tarafından_etiketlendi,2022-07-31 22:12:49.000000,Cinsiyetçilik,kilonun ustunde olan da kendine kizim demesin
34,48 kilo kizmi olur amk kadın dediğin ele avuca gelicek haksizmiyim,model_tarafından_etiketlendi,2022-07-31 22:12:51.000000,Cinsiyetçilik,kilo kizmi olur amk kadin dedigin ele avuca gelicek haksizmiyim
35,50bin TL altı maaş alan kadında kendine kadınım demesin,model_tarafından_etiketlendi,2022-07-31 22:12:53.000000,Cinsiyetçilik,bin tl alti maas alan kadinda kendine kadinim demesin
36,7/24 Sahibinden'e girmeyen de kendine erkeğim demesin bi zahmet,model_tarafından_etiketlendi,2022-07-31 22:12:55.000000,Cinsiyetçilik,sahibindene girmeyen de kendine erkegim demesin bi zahmet
37,"80 yaşında ki, Makbule teyzenin cezaevinde işi ne 

MağdurEdilen Kadınlar
#KHKRejimi",model_tarafından_etiketlendi,2022-07-31 22:12:57.000000,Cinsiyetçilik,yasinda ki makbule teyzenin cezaevinde isi ne magduredilen kadinlar
38,90c giymeyen de kendine kizim demesin bi zahmet,model_tarafından_etiketlendi,2022-07-31 22:13:01.000000,Cinsiyetçilik,c giymeyen de kendine kizim demesin bi zahmet
39,98li olmayan erkekte kendine erkeğim demesin yaa,model_tarafından_etiketlendi,2022-07-31 22:13:03.000000,Cinsiyetçilik,li olmayan erkekte kendine erkegim demesin yaa
40,Abi erkek parfümü dediğin ağır olur böyle keskin kokar .o hafif kadın parfümü gibi kokanları lütfen sıkmayın yaaa.,model_tarafından_etiketlendi,2022-07-31 22:13:05.000000,Cinsiyetçilik,abi erkek parfumu dedigin agir olur boyle keskin kokar o hafif kadin parfumu gibi kokanlari lutfen sikmayin yaaa
41,Abi kadın dediğin' ile başlayan cümleler kuran erkek profili gshsgsh,model_tarafından_etiketlendi,2022-07-31 22:13:07.000000,Cinsiyetçilik,abi kadin dedigin ile baslayan cumleler kuran erkek profili gshsgsh
42,Adam dediğin yumruğunu masaya vurur. Kadın dediğin de o masayı o adamın kafasına geçirir.,model_tarafından_etiketlendi,2022-07-31 22:13:09.000000,Cinsiyetçilik,adam dedigin yumrugunu masaya vurur kadin dedigin de o masayi o adamin kafasina gecirir
43,adam olmayan da kendine 'erkeğim' demesin lütfen,model_tarafından_etiketlendi,2022-07-31 22:13:11.000000,Cinsiyetçilik,adam olmayan da kendine erkegim demesin lutfen
44,Allahım bu sivilceli kızın suratındaki sivilceleri yok et nolur,model_tarafından_etiketlendi,2022-07-31 22:13:13.000000,Cinsiyetçilik,allahim bu sivilceli kizin suratindaki sivilceleri yok et nolur
45,Ama sizde rica edebilirsiniz kızlar lütfen selülitli bacaklarınızı atmayın diye  ben erkekler foto attığı için değil bacaklarını atıkları için söyledim,model_tarafından_etiketlendi,2022-07-31 22:13:15.000000,Cinsiyetçilik,ama sizde rica edebilirsiniz kizlar lutfen selulitli bacaklarinizi atmayin diye ben erkekler foto attigi icin degil bacaklarini atiklari icin soyledim
46,arabası olmayan kızda kendine kızım demesin,model_tarafından_etiketlendi,2022-07-31 22:13:21.000000,Cinsiyetçilik,arabasi olmayan kizda kendine kizim demesin
47,Askerden gelmiş kızlar bu video size gelsin,model_tarafından_etiketlendi,2022-07-31 22:13:23.000000,Cinsiyetçilik,askerden gelmis kizlar bu video size gelsin
48,askerlik yapmayanda kendine erkeğim demesin,model_tarafından_etiketlendi,2022-07-31 22:13:25.000000,Cinsiyetçilik,askerlik yapmayanda kendine erkegim demesin
49,"Aşıdan korkmayanda kendine erkeğim demesin..
Sek erkek Ali Rıza Sergen Yalçın",model_tarafından_etiketlendi,2022-07-31 22:13:29.000000,Cinsiyetçilik,asidan korkmayanda kendine erkegim demesin sek erkek ali riza sergen yalcin
50,aşko kuşko kız olmak istiyorum ama erkek fatma gibiyim,model_tarafından_etiketlendi,2022-07-31 22:13:31.000000,Cinsiyetçilik,asko kusko kiz olmak istiyorum ama erkek fatma gibiyim
